,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
101,101,-15.595246557477005,2.4037465351511855e-09,2.824375044951921e-08,59,10512.0,7272,1920,840,"d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",0.003756551679003702
102,102,-15.595246560841849,3.364844403108691e-09,2.487890604641052e-08,93,10656.0,7344,1920,840,"d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.001199122180863971
103,103,-15.595246561480954,6.391047691067797e-10,2.423980127730374e-08,51,10768.0,7416,1952,864,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.0004054474704216212
104,104,-15.595246563649063,2.1681092476910635e-09,2.2071692029612677e-08,61,10944.0,7488,1952,888,"d_f_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",-0.0020503899090216896
105,105,-15.595246565289449,1.6403856051283583e-09,2.043130642448432e-08,66,10992.0,7560,1984,888,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0010764583943466614
106,106,-15.59524656777597,2.4865212111535584e-09,1.794478521333076e-08,90,11040.0,7632,1984,888,"d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0025375009182015975
107,107,-15.5952465686268,8.50830517151735e-10,1.7093954696179026e-08,71,11152.0,7704,2016,888,"d_f_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.0006896537309921286
108,108,-15.595246568815178,1.8837731374787836e-10,1.6905577382431147e-08,51,11232.0,7776,2016,912,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.0018043483876688346
109,109,-15.595246570546722,1.7315446854127003e-09,1.5174032697018447e-08,80,11312.0,7848,2048,912,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.0016483923846977162
110,110,-15.595246570891206,3.4448355279437237e-10,1.4829549144224075e-08,57,11360.0,7920,2048,936,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.0005432081462070851
111,111,-15.595246571248007,3.568008111187737e-10,1.4472748333105301e-08,65,11536.0,7992,2080,936,"d_f_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",0.00024504248560709143
112,112,-15.595246571378654,1.3064749282420962e-10,1.4342100840281091e-08,43,11584.0,8064,2080,936,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-3.914860545375956e-05
