,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
87,87,-75.02328716530727,6.5752487898862455e-09,4.0627724047226366e-06,55,8992.0,5768,1732,1014,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",9.26208587876868e-06
88,88,-75.02328718590103,2.059375958651799e-08,4.0421786451361186e-06,101,9072.0,5840,1748,1014,"d_f_exc_[4, 5]_[7, 10]","[[4, 5], [7, 10]]",-0.013714939274462804
89,89,-75.02328719193493,6.03390049036534e-09,4.036144744645753e-06,53,9216.0,5912,1780,1038,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.00010126564585769499
90,90,-75.02328719460114,2.6662121399567695e-09,4.0334785325057965e-06,50,9296.0,5984,1796,1038,"d_f_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",-0.0003315860278700465
91,91,-75.02328734927116,1.5467001901470212e-07,3.878808513491094e-06,130,9376.0,6056,1796,1038,"d_f_exc_[2, 7]_[4, 5]","[[2, 7], [4, 5]]",-0.04730664772561516
92,92,-75.02328765639946,3.0712830323409435e-07,3.571680210257e-06,140,9424.0,6128,1796,1038,"d_f_exc_[3, 6]_[4, 5]","[[3, 6], [4, 5]]",-0.006556646072425046
93,93,-75.02328844613126,7.897317999550069e-07,2.781948410301993e-06,232,9472.0,6200,1828,1038,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.30897100039508796
94,94,-75.02328848263635,3.6505085176941066e-08,2.745443325125052e-06,117,9552.0,6272,1860,1062,"d_f_exc_[7, 10]_[12, 13]","[[7, 10], [12, 13]]",-0.046841752669312946
95,95,-75.02328848983696,7.200611662483425e-09,2.7382427134625686e-06,57,9664.0,6344,1860,1062,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0005701820087646131
96,96,-75.02328849335557,3.518607627484016e-09,2.7347241058350846e-06,58,9776.0,6416,1892,1062,"d_f_exc_[0, 1]_[6, 11]","[[0, 1], [6, 11]]",1.1780645036575452e-06
97,97,-75.02328935466615,8.613105819677003e-07,1.8734135238673844e-06,265,9856.0,6488,1924,1062,"d_f_exc_[4, 10]_[6, 12]","[[4, 10], [6, 12]]",-0.20247713638345316
98,98,-75.02329067623198,1.3215658327681012e-06,5.518476910992831e-07,269,9936.0,6560,1924,1062,"d_f_exc_[4, 7]_[11, 12]","[[4, 7], [11, 12]]",-0.025493397449903477
99,99,-75.02329069622478,1.9992796751466813e-08,5.318548943478163e-07,109,10048.0,6632,1956,1086,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.00014950263496136152
100,100,-75.02329075855603,6.2331253047887e-08,4.695236412999293e-07,176,10192.0,6704,1988,1110,"d_f_exc_[4, 13]_[6, 7]","[[4, 13], [6, 7]]",0.007249041861254381
101,101,-75.02329079767713,3.912110457804374e-08,4.3040253672188555e-07,138,10304.0,6776,2020,1110,"d_f_exc_[5, 12]_[8, 9]","[[5, 12], [8, 9]]",0.034043080142248605
102,102,-75.02329084058772,4.291058530725422e-08,3.8749195141463133e-07,168,10448.0,6848,2052,1134,"d_f_exc_[4, 13]_[8, 9]","[[4, 13], [8, 9]]",-0.030407950143879522
103,103,-75.0232908484331,7.84538656262157e-09,3.7964656485200976e-07,157,10624.0,6920,2084,1158,"d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.0007281161856748514
104,104,-75.02329085027888,1.8457768646840123e-09,3.7780078798732575e-07,108,10800.0,6992,2116,1158,"d_f_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.0011420476139654713
105,105,-75.02329089744758,4.716869739240792e-08,3.3063209059491783e-07,250,10944.0,7064,2148,1182,"d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.026326622439782746
106,106,-75.02329104112864,1.4368106349138543e-07,1.869510271035324e-07,324,11056.0,7136,2180,1182,"d_f_exc_[5, 12]_[6, 7]","[[5, 12], [6, 7]]",0.04568861547539533
107,107,-75.0232910523629,1.1234249086555792e-08,1.757167780169766e-07,84,11232.0,7208,2212,1206,"d_f_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",0.00046876087227567197
108,108,-75.02329105457541,2.2125163923192304e-09,1.7350426162465737e-07,64,11344.0,7280,2244,1206,"d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",0.000382113437996059
109,109,-75.02329114059629,8.602087575582118e-08,8.74833858688362e-08,379,11392.0,7352,2276,1206,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0005087509840237974
110,110,-75.02329114693732,6.341039693325001e-09,8.114234617551119e-08,64,11504.0,7424,2292,1206,"d_f_exc_[0, 3]_[7, 10]","[[0, 3], [7, 10]]",-0.0006858520733942991
111,111,-75.0232911484205,1.483172695770918e-09,7.965917347974028e-08,64,11616.0,7496,2324,1206,"d_f_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",-0.00020698622181044416
112,112,-75.02329115024318,1.822684225771809e-09,7.783648925396847e-08,67,11664.0,7568,2324,1230,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0004931039100596288
113,113,-75.02329115123126,9.880807283479953e-10,7.684840852562047e-08,61,11840.0,7640,2356,1254,"d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.000515747319484525
114,114,-75.02329115301961,1.788350800779881e-09,7.506005772484059e-08,71,11952.0,7712,2388,1254,"d_f_exc_[1, 2]_[6, 11]","[[1, 2], [6, 11]]",-0.0007109739724606034
115,115,-75.0232911546974,1.6777903510956094e-09,7.338226737374498e-08,67,12032.0,7784,2388,1278,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.0007965591359392079
116,116,-75.0232911556354,9.380016763316235e-10,7.244426569741336e-08,70,12176.0,7856,2420,1302,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.0001824986560329437
117,117,-75.02329115568917,5.375966338760918e-11,7.239050603402575e-08,102,12256.0,7928,2420,1302,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0005876762341504945
118,118,-75.0232911556903,1.1368683772161603e-12,7.238936916564853e-08,11,12304.0,8000,2452,1302,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-3.003220970046518e-05
119,119,-75.02329116588234,1.0192039212597592e-08,6.219732995305094e-08,151,12448.0,8072,2484,1302,"d_f_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.04085883499808555
120,120,-75.02329120578653,3.990419372712495e-08,2.229313622592599e-08,271,12496.0,8144,2484,1302,"d_f_exc_[5, 6]_[11, 12]","[[5, 6], [11, 12]]",0.008810830214181017
121,121,-75.02329121123556,5.4490243428517715e-09,1.684411188307422e-08,120,12576.0,8216,2484,1326,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.004633171396609704
122,122,-75.02329121251903,1.2834675544581842e-09,1.5560644328616036e-08,87,12656.0,8288,2516,1326,"d_f_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",0.0012161273778861365
